store_code,store_name,country_code,region_code,tax_jurisdiction_code,format_code,city,state_code,postal_code,address_line1,latitude,longitude,store_open_date,store_close_date,lifecycle_status,floor_area_sqft,annual_rent_usd,is_active,effective_start_date,effective_end_date,created_at,source_system
DE_0001,Apple Hendricksville,DE,EMEA,DE_SL_STD,FLG,Juarezberg,SL,47769,00438 Nichole Circle Suite 023,-81.382182,95.974476,2017-01-21,,ACTIVE,5545,10682891,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.758084,RETAIL_OPS
DE_0002,Apple Port Dalton,DE,EMEA,DE_TH_STD,MINI,East Tinaburgh,TH,52803,9178 Anderson Ridges Apt. 704,44.829324,-153.716849,2017-01-13,,ACTIVE,23194,1990819,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.758464,RETAIL_OPS
DE_0003,Apple Kevinport,DE,EMEA,DE_BW_STD,MALL,North Davidbury,BW,44293,1397 Hansen Haven Suite 551,-68.058249,1.730519,2016-09-12,,ACTIVE,18532,17514005,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.758654,RETAIL_OPS
DE_0004,Apple Alexanderfort,DE,EMEA,DE_SL_STD,MALL,Montesshire,SL,73112,023 Mccormick Islands Apt. 992,60.065324,124.716906,2025-07-20,,ACTIVE,18655,8402199,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.758986,RETAIL_OPS
DE_0005,Apple West Aaron,DE,EMEA,DE_NI_STD,FLG,East Amberland,NI,39549,8338 Le River Apt. 448,8.827224,77.764351,2021-03-06,,ACTIVE,5332,14003447,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.759220,RETAIL_OPS
DE_0006,Apple Craigfurt,DE,EMEA,DE_MV_STD,FLG,Archertown,MV,13443,5072 Whitney Circles Suite 545,-33.226046,-3.568305,2023-09-25,,ACTIVE,13587,5823906,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.759546,RETAIL_OPS
DE_0007,Apple Lake Samanthafurt,DE,EMEA,DE_SL_STD,FLG,North Linda,SL,87413,44421 Cole Neck Apt. 980,60.471786,91.592261,2017-02-26,,ACTIVE,7811,7597106,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.759720,RETAIL_OPS
DE_0008,Apple New Tami,DE,EMEA,DE_BE_STD,FLG,West Emily,BE,70416,18181 Valerie Station Suite 033,19.117182,110.629289,2019-12-29,,ACTIVE,7638,8890348,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.759870,RETAIL_OPS
DE_0009,Apple West Lindsey,DE,EMEA,DE_MV_STD,MALL,Janettown,MV,63819,6343 Brady Branch,23.326774,15.034438,2025-07-28,,ACTIVE,23706,1377015,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760026,RETAIL_OPS
DE_0010,Apple Robertton,DE,EMEA,DE_MV_STD,MINI,West Jillian,MV,82549,06936 Alison Place,21.412736,-31.227771,2016-12-04,,ACTIVE,8629,18079835,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760169,RETAIL_OPS
DE_0011,Apple Shawnberg,DE,EMEA,DE_SH_STD,MINI,Turnermouth,SH,25694,5388 Thomas Squares,71.206916,145.088254,2016-10-08,,ACTIVE,8111,13648767,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760322,RETAIL_OPS
DE_0012,Apple Martinhaven,DE,EMEA,DE_TH_STD,MALL,East Maryberg,TH,38587,98275 Alex Mission,81.194660,-9.306240,2023-09-23,,ACTIVE,22046,7299851,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760478,RETAIL_OPS
DE_0013,Apple Pearsonbury,DE,EMEA,DE_BW_STD,MINI,Staceyborough,BW,06706,9341 Ball Trail Apt. 489,-82.060958,132.715768,2020-04-15,,ACTIVE,19835,17515805,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760653,RETAIL_OPS
DE_0014,Apple Codyshire,DE,EMEA,DE_HH_STD,FLG,Peckborough,HH,45114,2121 Mitchell Burgs Apt. 775,-48.937264,144.377416,2025-01-17,,ACTIVE,16288,11856506,Y,2026-03-04,9999-12-31,2026-03-04 16:04:36.760831,RETAIL_OPS
